	chunks	max	min	sd	sttr_100
GO_MEDCONSULT_005	19.0	0.76	0.57	0.0569638073364	0.668421052632
GO_MEDCONSULT_006	8.0	0.72	0.55	0.0533707551005	0.63375
GO_MEDCONSULT_007	10.0	0.73	0.56	0.0554616984954	0.628
GO_MEDCONSULT_008	3.0	0.7	0.59	0.0449691252108	0.646666666667
GO_MEDCONSULT_009	21.0	0.73	0.58	0.0474711990498	0.644761904762
GO_MEDCONSULT_010	5.0	0.7	0.63	0.0287054001888	0.674
GO_MEDCONSULT_011	21.0	0.76	0.53	0.0542146569199	0.625238095238
GO_MEDCONSULT_012	7.0	0.72	0.6	0.0368117106478	0.681428571429
GO_MEDCONSULT_013	14.0	0.74	0.57	0.0519418827506	0.661428571429
GO_MEDCONSULT_014	3.0	0.68	0.63	0.0235702260396	0.663333333333
GO_POPSCI_001	30.0	0.76	0.59	0.0455289895439	0.679333333333
GO_POPSCI_002	30.0	0.79	0.61	0.0394701012019	0.714333333333
GO_POPSCI_003	30.0	0.78	0.59	0.0448503685108	0.675333333333
GO_POPSCI_004	31.0	0.74	0.52	0.060748025323	0.65
GO_POPSCI_005	31.0	0.79	0.57	0.0573595193852	0.692580645161
GO_POPSCI_006	31.0	0.72	0.54	0.0379604920861	0.649032258065
GO_POPSCI_007	31.0	0.75	0.55	0.0489961666831	0.661612903226
GO_POPSCI_008	29.0	0.82	0.47	0.0702704136496	0.65
GO_POPSCI_009	29.0	0.82	0.58	0.0559237632928	0.720344827586
GO_POPSCI_010	31.0	0.8	0.63	0.0409156386986	0.719677419355
GO_SERMON_001	15.0	0.72	0.59	0.0370585122925	0.67
